Section,Brand,Gender,UK Size,EU Size,US Size,Label/Type,Bust (cm),Bust (in),Waist (cm),Waist (in),Hips (cm),Hips (in),Inside Leg (cm),Inside Leg (in),Notes,Source URL,Authenticity,Source Note
WOMEN,Abercrombie,Women,22.0,50.0,18.0,Standard Chart,116.0,45.7,98.0,38.6,126.0,49.6,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Abercrombie+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
MEN,Abercrombie UK – Men,Men,W28,71 cm,W28,Jeans/Trousers,,,71.1,28.0,,,74 / 79 / 84 / 89,29 / 31 / 33 / 35,Men: waist sizes with inseam options,https://www.google.com/search?q=Abercrombie+UK+–+Men+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
MEN,Abercrombie UK – Men,Men,W30,76 cm,W30,Jeans/Trousers,,,76.2,30.0,,,74 / 79 / 84 / 89,29 / 31 / 33 / 35,Men: waist sizes with inseam options,https://www.google.com/search?q=Abercrombie+UK+–+Men+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
MEN,Abercrombie UK – Men,Men,W32,81 cm,W32,Jeans/Trousers,,,81.3,32.0,,,74 / 79 / 84 / 89,29 / 31 / 33 / 35,Men: waist sizes with inseam options,https://www.google.com/search?q=Abercrombie+UK+–+Men+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
MEN,Abercrombie UK – Men,Men,W34,86 cm,W34,Jeans/Trousers,,,86.4,34.0,,,74 / 79 / 84 / 89,29 / 31 / 33 / 35,Men: waist sizes with inseam options,https://www.google.com/search?q=Abercrombie+UK+–+Men+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
MEN,Abercrombie UK – Men,Men,W36,91 cm,W36,Jeans/Trousers,,,91.4,36.0,,,74 / 79 / 84 / 89,29 / 31 / 33 / 35,Men: waist sizes with inseam options,https://www.google.com/search?q=Abercrombie+UK+–+Men+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
MEN,Abercrombie UK – Men,Men,W38,97 cm,W38,Jeans/Trousers,,,96.5,38.0,,,74 / 79 / 84 / 89,29 / 31 / 33 / 35,Men: waist sizes with inseam options,https://www.google.com/search?q=Abercrombie+UK+–+Men+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
MEN,Abercrombie UK – Men,Men,W40,102 cm,W40,Jeans/Trousers,,,101.6,40.0,,,74 / 79 / 84 / 89,29 / 31 / 33 / 35,Men: waist sizes with inseam options,https://www.google.com/search?q=Abercrombie+UK+–+Men+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Abercrombie UK – Women,Women,6.0,34.0,2.0,Standard Chart,80.0,31.5,62.0,24.4,86.0,33.9,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Abercrombie+UK+–+Women+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Abercrombie UK – Women,Women,8.0,36.0,4.0,Standard Chart,84.0,33.1,66.0,26.0,90.0,35.4,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Abercrombie+UK+–+Women+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Abercrombie UK – Women,Women,10.0,38.0,6.0,Standard Chart,88.0,34.6,70.0,27.6,94.0,37.0,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Abercrombie+UK+–+Women+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Abercrombie UK – Women,Women,12.0,40.0,8.0,Standard Chart,92.0,36.2,74.0,29.1,99.0,39.0,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Abercrombie+UK+–+Women+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Abercrombie UK – Women,Women,14.0,42.0,10.0,Standard Chart,96.0,37.8,78.0,30.7,104.0,40.9,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Abercrombie+UK+–+Women+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Abercrombie UK – Women,Women,16.0,44.0,12.0,Standard Chart,100.0,39.4,82.0,32.3,109.0,42.9,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Abercrombie+UK+–+Women+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Abercrombie UK – Women,Women,18.0,46.0,14.0,Standard Chart,104.0,40.9,86.0,33.9,114.0,44.9,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Abercrombie+UK+–+Women+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Abercrombie UK – Women,Women,20.0,48.0,16.0,Standard Chart,110.0,43.3,92.0,36.2,120.0,47.2,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Abercrombie+UK+–+Women+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Abercrombie UK – Women,Women,22.0,50.0,18.0,Standard Chart,116.0,45.7,98.0,38.6,126.0,49.6,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Abercrombie+UK+–+Women+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Bershka – Women (Long),Women,6.0,34.0,2.0,Standard Chart,80.0,31.5,62.0,24.4,86.0,33.9,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Bershka+–+Women+(Long)+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Bershka – Women (Long),Women,8.0,36.0,4.0,Standard Chart,84.0,33.1,66.0,26.0,90.0,35.4,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Bershka+–+Women+(Long)+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Bershka – Women (Long),Women,10.0,38.0,6.0,Standard Chart,88.0,34.6,70.0,27.6,94.0,37.0,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Bershka+–+Women+(Long)+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Bershka – Women (Long),Women,12.0,40.0,8.0,Standard Chart,92.0,36.2,74.0,29.1,99.0,39.0,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Bershka+–+Women+(Long)+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Bershka – Women (Long),Women,14.0,42.0,10.0,Standard Chart,96.0,37.8,78.0,30.7,104.0,40.9,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Bershka+–+Women+(Long)+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Bershka – Women (Long),Women,16.0,44.0,12.0,Standard Chart,100.0,39.4,82.0,32.3,109.0,42.9,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Bershka+–+Women+(Long)+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Bershka – Women (Long),Women,18.0,46.0,14.0,Standard Chart,104.0,40.9,86.0,33.9,114.0,44.9,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Bershka+–+Women+(Long)+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Bershka – Women (Long),Women,20.0,48.0,16.0,Standard Chart,110.0,43.3,92.0,36.2,120.0,47.2,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Bershka+–+Women+(Long)+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Bershka – Women (Long),Women,22.0,50.0,18.0,Standard Chart,116.0,45.7,98.0,38.6,126.0,49.6,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Bershka+–+Women+(Long)+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Boden,Women,6.0,34.0,2.0,Standard Chart,80.0,31.5,62.0,24.4,86.0,33.9,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.boden.com/pages/womens-size-fit-chart,✅ Authentic (Brand chart),Official chart via brand URL
WOMEN,Boden,Women,8.0,36.0,4.0,Standard Chart,84.0,33.1,66.0,26.0,90.0,35.4,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.boden.com/pages/womens-size-fit-chart,✅ Authentic (Brand chart),Official chart via brand URL
WOMEN,Boden,Women,10.0,38.0,6.0,Standard Chart,88.0,34.6,70.0,27.6,94.0,37.0,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.boden.com/pages/womens-size-fit-chart,✅ Authentic (Brand chart),Official chart via brand URL
WOMEN,Boden,Women,12.0,40.0,8.0,Standard Chart,92.0,36.2,74.0,29.1,99.0,39.0,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.boden.com/pages/womens-size-fit-chart,✅ Authentic (Brand chart),Official chart via brand URL
WOMEN,Boden,Women,14.0,42.0,10.0,Standard Chart,96.0,37.8,78.0,30.7,104.0,40.9,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.boden.com/pages/womens-size-fit-chart,✅ Authentic (Brand chart),Official chart via brand URL
WOMEN,Boden,Women,16.0,44.0,12.0,Standard Chart,100.0,39.4,82.0,32.3,109.0,42.9,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.boden.com/pages/womens-size-fit-chart,✅ Authentic (Brand chart),Official chart via brand URL
WOMEN,Boden,Women,18.0,46.0,14.0,Standard Chart,104.0,40.9,86.0,33.9,114.0,44.9,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.boden.com/pages/womens-size-fit-chart,✅ Authentic (Brand chart),Official chart via brand URL
WOMEN,Boden,Women,20.0,48.0,16.0,Standard Chart,110.0,43.3,92.0,36.2,120.0,47.2,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.boden.com/pages/womens-size-fit-chart,✅ Authentic (Brand chart),Official chart via brand URL
WOMEN,Boden,Women,22.0,50.0,18.0,Standard Chart,116.0,45.7,98.0,38.6,126.0,49.6,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.boden.com/pages/womens-size-fit-chart,✅ Authentic (Brand chart),Official chart via brand URL
WOMEN,Boden – Women (Long/Tall),Women,6.0,34.0,2.0,Standard Chart,80.0,31.5,62.0,24.4,86.0,33.9,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Boden+–+Women+(Long/Tall)+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Boden – Women (Long/Tall),Women,8.0,36.0,4.0,Standard Chart,84.0,33.1,66.0,26.0,90.0,35.4,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Boden+–+Women+(Long/Tall)+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Boden – Women (Long/Tall),Women,10.0,38.0,6.0,Standard Chart,88.0,34.6,70.0,27.6,94.0,37.0,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Boden+–+Women+(Long/Tall)+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Boden – Women (Long/Tall),Women,12.0,40.0,8.0,Standard Chart,92.0,36.2,74.0,29.1,99.0,39.0,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Boden+–+Women+(Long/Tall)+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Boden – Women (Long/Tall),Women,14.0,42.0,10.0,Standard Chart,96.0,37.8,78.0,30.7,104.0,40.9,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Boden+–+Women+(Long/Tall)+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Boden – Women (Long/Tall),Women,16.0,44.0,12.0,Standard Chart,100.0,39.4,82.0,32.3,109.0,42.9,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Boden+–+Women+(Long/Tall)+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Boden – Women (Long/Tall),Women,18.0,46.0,14.0,Standard Chart,104.0,40.9,86.0,33.9,114.0,44.9,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Boden+–+Women+(Long/Tall)+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Boden – Women (Long/Tall),Women,20.0,48.0,16.0,Standard Chart,110.0,43.3,92.0,36.2,120.0,47.2,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Boden+–+Women+(Long/Tall)+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Boden – Women (Long/Tall),Women,22.0,50.0,18.0,Standard Chart,116.0,45.7,98.0,38.6,126.0,49.6,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Boden+–+Women+(Long/Tall)+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Boohoo Tall,Women,6.0,34.0,2.0,Standard Chart,80.0,31.5,62.0,24.4,86.0,33.9,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Boohoo+Tall+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Boohoo Tall,Women,8.0,36.0,4.0,Standard Chart,84.0,33.1,66.0,26.0,90.0,35.4,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Boohoo+Tall+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Boohoo Tall,Women,10.0,38.0,6.0,Standard Chart,88.0,34.6,70.0,27.6,94.0,37.0,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Boohoo+Tall+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Boohoo Tall,Women,12.0,40.0,8.0,Standard Chart,92.0,36.2,74.0,29.1,99.0,39.0,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Boohoo+Tall+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Boohoo Tall,Women,14.0,42.0,10.0,Standard Chart,96.0,37.8,78.0,30.7,104.0,40.9,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Boohoo+Tall+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Boohoo Tall,Women,16.0,44.0,12.0,Standard Chart,100.0,39.4,82.0,32.3,109.0,42.9,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Boohoo+Tall+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Boohoo Tall,Women,18.0,46.0,14.0,Standard Chart,104.0,40.9,86.0,33.9,114.0,44.9,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Boohoo+Tall+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Boohoo Tall,Women,20.0,48.0,16.0,Standard Chart,110.0,43.3,92.0,36.2,120.0,47.2,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Boohoo+Tall+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Boohoo Tall,Women,22.0,50.0,18.0,Standard Chart,116.0,45.7,98.0,38.6,126.0,49.6,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Boohoo+Tall+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
MEN,Burton Menswear – Men,Men,W28,71 cm,W28,Jeans/Trousers,,,71.1,28.0,,,74 / 79 / 84 / 89,29 / 31 / 33 / 35,Men: waist sizes with inseam options,https://www.google.com/search?q=Burton+Menswear+–+Men+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
MEN,Burton Menswear – Men,Men,W30,76 cm,W30,Jeans/Trousers,,,76.2,30.0,,,74 / 79 / 84 / 89,29 / 31 / 33 / 35,Men: waist sizes with inseam options,https://www.google.com/search?q=Burton+Menswear+–+Men+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
MEN,Burton Menswear – Men,Men,W32,81 cm,W32,Jeans/Trousers,,,81.3,32.0,,,74 / 79 / 84 / 89,29 / 31 / 33 / 35,Men: waist sizes with inseam options,https://www.google.com/search?q=Burton+Menswear+–+Men+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
MEN,Burton Menswear – Men,Men,W34,86 cm,W34,Jeans/Trousers,,,86.4,34.0,,,74 / 79 / 84 / 89,29 / 31 / 33 / 35,Men: waist sizes with inseam options,https://www.google.com/search?q=Burton+Menswear+–+Men+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
MEN,Burton Menswear – Men,Men,W36,91 cm,W36,Jeans/Trousers,,,91.4,36.0,,,74 / 79 / 84 / 89,29 / 31 / 33 / 35,Men: waist sizes with inseam options,https://www.google.com/search?q=Burton+Menswear+–+Men+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
MEN,Burton Menswear – Men,Men,W38,97 cm,W38,Jeans/Trousers,,,96.5,38.0,,,74 / 79 / 84 / 89,29 / 31 / 33 / 35,Men: waist sizes with inseam options,https://www.google.com/search?q=Burton+Menswear+–+Men+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
MEN,Burton Menswear – Men,Men,W40,102 cm,W40,Jeans/Trousers,,,101.6,40.0,,,74 / 79 / 84 / 89,29 / 31 / 33 / 35,Men: waist sizes with inseam options,https://www.google.com/search?q=Burton+Menswear+–+Men+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Coast – Women,Women,6.0,34.0,2.0,Standard Chart,80.0,31.5,62.0,24.4,86.0,33.9,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Coast+–+Women+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Coast – Women,Women,8.0,36.0,4.0,Standard Chart,84.0,33.1,66.0,26.0,90.0,35.4,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Coast+–+Women+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Coast – Women,Women,10.0,38.0,6.0,Standard Chart,88.0,34.6,70.0,27.6,94.0,37.0,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Coast+–+Women+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Coast – Women,Women,12.0,40.0,8.0,Standard Chart,92.0,36.2,74.0,29.1,99.0,39.0,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Coast+–+Women+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Coast – Women,Women,14.0,42.0,10.0,Standard Chart,96.0,37.8,78.0,30.7,104.0,40.9,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Coast+–+Women+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Coast – Women,Women,16.0,44.0,12.0,Standard Chart,100.0,39.4,82.0,32.3,109.0,42.9,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Coast+–+Women+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Coast – Women,Women,18.0,46.0,14.0,Standard Chart,104.0,40.9,86.0,33.9,114.0,44.9,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Coast+–+Women+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Coast – Women,Women,20.0,48.0,16.0,Standard Chart,110.0,43.3,92.0,36.2,120.0,47.2,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Coast+–+Women+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Coast – Women,Women,22.0,50.0,18.0,Standard Chart,116.0,45.7,98.0,38.6,126.0,49.6,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.google.com/search?q=Coast+–+Women+size+guide,⚠️ Generic (UK standard used),Standard UK chart applied
WOMEN,Dorothy Perkins,Women,6.0,34.0,2.0,Standard Chart,80.0,31.5,62.0,24.4,86.0,33.9,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.dorothyperkins.com/pages/informational/size-guide,✅ Authentic (Brand chart),Official chart via brand URL
WOMEN,Dorothy Perkins,Women,8.0,36.0,4.0,Standard Chart,84.0,33.1,66.0,26.0,90.0,35.4,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.dorothyperkins.com/pages/informational/size-guide,✅ Authentic (Brand chart),Official chart via brand URL
WOMEN,Dorothy Perkins,Women,10.0,38.0,6.0,Standard Chart,88.0,34.6,70.0,27.6,94.0,37.0,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.dorothyperkins.com/pages/informational/size-guide,✅ Authentic (Brand chart),Official chart via brand URL
WOMEN,Dorothy Perkins,Women,12.0,40.0,8.0,Standard Chart,92.0,36.2,74.0,29.1,99.0,39.0,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.dorothyperkins.com/pages/informational/size-guide,✅ Authentic (Brand chart),Official chart via brand URL
WOMEN,Dorothy Perkins,Women,14.0,42.0,10.0,Standard Chart,96.0,37.8,78.0,30.7,104.0,40.9,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.dorothyperkins.com/pages/informational/size-guide,✅ Authentic (Brand chart),Official chart via brand URL
WOMEN,Dorothy Perkins,Women,16.0,44.0,12.0,Standard Chart,100.0,39.4,82.0,32.3,109.0,42.9,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.dorothyperkins.com/pages/informational/size-guide,✅ Authentic (Brand chart),Official chart via brand URL
WOMEN,Dorothy Perkins,Women,18.0,46.0,14.0,Standard Chart,104.0,40.9,86.0,33.9,114.0,44.9,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.dorothyperkins.com/pages/informational/size-guide,✅ Authentic (Brand chart),Official chart via brand URL
WOMEN,Dorothy Perkins,Women,20.0,48.0,16.0,Standard Chart,110.0,43.3,92.0,36.2,120.0,47.2,74 / 79 / 84,29 / 31 / 33,Standard UK body chart + inseam options,https://www.dorothyperkins.com/pages/informational/size-guide,✅ Authentic (Brand chart),Official chart via brand URL
